"","State","SiteID","VisitID","Date","Lat","Lon","HHC","CRC","CSR","LSR","CMS","SRD","CAS","RFS","BNM","RAD","JOD","LMB","SMB","NTP","BKT","RBT","BNT"
"1","IA","IA_1",1460,"10/3/2013",42.53582,-93.78792,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
"2","IA","IA_10",1617,"8/5/2014",42.96247,-91.2293,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
"3","IA","IA_100",125,"8/20/1997",42.72782,-95.42623,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"4","IA","IA_101",126,"8/21/1997",42.37736,-95.40032,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"5","IA","IA_102",127,"8/21/1997",42.34418,-95.48651,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"6","IA","IA_103",1341,"8/24/2011",42.84507,-92.23308,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0
"7","IA","IA_104",1344,"8/9/2011",42.4518,-91.80309,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0
"8","IA","IA_105",1343,"9/1/2011",42.04751,-90.8537,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
"9","IA","IA_106",1347,"8/29/2011",42.38376,-91.2402,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
"10","IA","IA_107",1349,"9/15/2011",43.36702,-91.61832,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1
"11","IA","IA_108",1416,"9/19/2012",43.00908,-91.95885,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0
"12","IA","IA_109",550,"9/10/2003",42.15667,-93.50937,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"13","IA","IA_11",1236,"10/14/2010",43.01253,-92.39029,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0
"14","IA","IA_110",554,"9/10/2003",42.16023,-93.50582,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"15","IA","IA_111",136,"9/26/1997",42.03232,-93.59292,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
"16","IA","IA_112",137,"9/29/1997",42.12163,-93.58071,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"17","IA","IA_113",138,"9/29/1997",42.01168,-93.59572,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"18","IA","IA_114",1452,"7/17/2013",42.1136,-93.56107,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"19","IA","IA_115",1058,"9/25/2008",42.17706,-93.53998,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"20","IA","IA_116",566,"9/24/2003",42.20956,-93.50761,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
"21","IA","IA_117",142,"10/6/1997",42.02325,-93.59557,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0
"22","IA","IA_118",558,"9/17/2003",42.23876,-93.58595,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
