"","Ecoregion","HUC4","State","WatershedID","SiteNUM","CMS_prop","SRD_prop","CAS_prop","RFS_prop","BNM_prop","RAD_prop","JOD_prop","HHC_prop","CRC_prop","CSR_prop","LMB_prop","SMB_prop","NTP_prop","BKT_prop","RBT_prop","BNT_prop","Host_Number","Area","Per_Urban","Per_Agriculture","Per_Forest","Per_Wetlant","Elevation","Temperature","Precipitation","Lat","Lon"
"1","ECO47","HUC4_41","MN","ws10018",11,0.727272727272727,0,0,0,0.818181818181818,0,0.818181818181818,0,1,0.818181818181818,0,0,0,0,0,0,2,859053600.4,0.041529422611115,0.913441955193483,0.02361016821302,0.000631741721355,305.118761431373,7.47451963241437,734.642439431913,2392175.59485531,136252.861736334
"2","ECO52","HUC4_42","WI","ws10078",21,0.333333333333333,0.0476190476190476,0,0,0,0,0.619047619047619,0.0476190476190476,0.761904761904762,0,0.0476190476190476,0,0.0952380952380952,0.380952380952381,0,0.142857142857143,2,888966883.4,0.04851777945838,0.484480243302647,0.407108746118669,0.028051888096171,304.967146438482,7.72467948717949,848.058493589744,2384559.03673469,386917.273469388
"3","ECO50","HUC4_40","MN","ws1028",13,0.615384615384615,0,0,0,0,0,0.384615384615385,0.307692307692308,0.692307692307692,0,0.307692307692308,0,0.692307692307692,0.0769230769230769,0,0,2,843452988,0.034899391880284,0.163832722794939,0.497283788845127,0.138165567768695,446.370871974865,4.60875106202209,636.479184367035,2711165.46580189,63653.7735849057
"4","ECO52","HUC4_42","MN","ws10379",22,0.772727272727273,0.727272727272727,0,0,0.727272727272727,0,0.954545454545455,0.681818181818182,0.954545454545455,0.909090909090909,0,0.181818181818182,0,0.0909090909090909,0,0.318181818181818,3,624688172.1,0.057945707954784,0.825050641263914,0.06043238850998,0.006755530198906,346.558778380517,7.47457044673539,803.643757159221,2370702.12401996,251996.92088382
"5","ECO47","HUC4_42","MN","ws10645",17,1,0.941176470588235,0.235294117647059,0,0.882352941176471,0.470588235294118,0.941176470588235,0.588235294117647,1,0.941176470588235,0,0.0588235294117647,0,0,0,0,3,537451205.4,0.053906103475069,0.842620502103261,0.063426037563969,0.011097379631862,362.174142570762,7.43267457180501,807.238471673254,2357888.25313808,253219.612970711
"6","ECO52","HUC4_42","WI","ws10684",16,0.0625,0,0,0,0.0625,0,0.625,0,0.4375,0,0.1875,0,0,1,0,0.125,1,409066190,0.046975037292252,0.391278233205286,0.519796795726462,0.022478757716966,281.189696814829,7.99913344887348,851.824956672444,2360885.01012146,378307.074898785
"7","ECO53","HUC4_12","WI","ws10817",10,0.1,0,0,0,0.2,0,0.4,0,0.7,0,0.1,0,0.1,0,0,0,1,999758705.6,0.06348691939365,0.684701618500544,0.037692995319771,0.141829223391604,268.404070444174,7.69490084985836,781.235835694051,2365997.40614334,630014.692832764
"8","ECO47","HUC4_41","MN","ws10875",15,1,0,0,0,0.733333333333333,0,0.666666666666667,0.8,0.866666666666667,0.733333333333333,0.2,0.0666666666666667,0.266666666666667,0,0,0,3,456880553.2,0.037327266101311,0.878694757162978,0.017640280117011,0.004223423849344,336.771024956816,7.5915625,706.3421875,2351738.74659401,95446.4959128065
"9","ECO52","HUC4_42","MN","ws10940",39,0.128205128205128,0.205128205128205,0,0,0.179487179487179,0,0.743589743589744,0,0.666666666666667,0.435897435897436,0.0256410256410256,0,0.0256410256410256,0.205128205128205,0.179487179487179,0.82051282051282,2,831942887.9,0.049557487659309,0.66576985031064,0.219980722234663,0.011881464461083,343.047618279625,7.66117747440273,809.308873720136,2348498.13559322,311559.06009245
"10","ECO47","HUC4_42","MN","ws10971",18,0.888888888888889,0.333333333333333,0.222222222222222,0,0.833333333333333,0.277777777777778,1,0.111111111111111,1,0.888888888888889,0.388888888888889,0.388888888888889,0,0,0,0,3,559005287.6,0.074766911870066,0.799134462589174,0.080881701837174,0.013493431994294,376.971244640991,7.41315453384419,805.600255427842,2343268.16572808,252432.91230893
