"","Ecoregion","HUC4","State","WatershedID","SiteNUM","CMS_prop","SRD_prop","CAS_prop","RFS_prop","BNM_prop","RAD_prop","JOD_prop","HHC_prop","CRC_prop","CSR_prop","Host_Number","Area","Per_Urban","Per_Agriculture","Per_Forest","Per_Wetlant","Elevation","Temperature","Precipitation","Lat","Lon"
"1","ECO46","HUC4_13","MN","ws10075",7,0.142857142857143,0,0,0,0.142857142857143,0,0.428571428571429,0,0.714285714285714,0.142857142857143,2,249.4394975,0.044798037199401,0.892717071674695,0.003070484025184,0.000873157619383,319.831526827483,6.94034090909091,640.869318181818,2476760.80229226,13120.1432664756
"2","ECO51","HUC4_12","MN","ws10087",6,0,0,0,0,0,0,0.333333333333333,0,0,0,0,128.1582112,0.090429640865742,0.420694110872344,0.133534178850827,0.044256239553926,283.939061986166,7.26988636363636,796.625,2472594.53225806,236161.887096774
"3","ECO51","HUC4_12","MN","ws10104",6,0.166666666666667,0,0,0,0,0,0.5,0,0.333333333333333,0,1,220.0121769,0.288912614845904,0.180035016240009,0.15839530716933,0.057543627126132,274.780942289514,7.29676375404531,792.941747572816,2474820.47306176,218320.604467806
"4","ECO47","HUC4_12","MN","ws10314",6,0,0,0,0,0.333333333333333,0,0.666666666666667,0.166666666666667,0.333333333333333,0,2,61.41419788,0.055335736686304,0.869090536064949,0.01181160057446,0.011152143966705,356.513513813104,6.74269662921348,708.179775280899,2466666.12980769,105499.254807692
"5","ECO51","HUC4_17","WI","ws10466",14,0.857142857142857,0,0,0,0.5,0.285714285714286,0.928571428571429,0.571428571428571,1,0.285714285714286,3,231.303611,0.036913822352959,0.576780906133757,0.275906211576473,0.102333037618092,433.751179786102,6.28260869565217,803.083850931677,2466840.71932299,463559.788434415
"6","ECO51","HUC4_17","WI","ws10491",5,0.8,0,0,0,0.4,0.4,0.8,0.4,0.8,0,2,206.8983043,0.053978693880037,0.549474306942106,0.281481771479031,0.106648048823987,409.47646630326,6.39347079037801,808.975945017182,2466251.94029851,489277.164179104
"7","ECO51","HUC4_4","WI","ws10521",6,0.833333333333333,0,0,0,0.333333333333333,0,1,0.833333333333333,1,0,2,73.71810544,0.032072177660575,0.185364245687287,0.379372230157858,0.362670768779988,263.197123530985,7.11553398058252,783.077669902913,2462665.24590164,590093.770491803
"8","ECO51","HUC4_12","MN","ws10530",10,0,0,0,0,0,0,0.2,0,0.6,0,1,126.7569063,0.087424826577488,0.768107298300921,0.017509106013164,0.0113390276979,344.295386756645,6.83033707865169,696.488764044944,2463706.4229249,112629.664031621
"9","ECO51","HUC4_4","WI","ws10603",8,0.625,0,0,0,0.125,0,0.5,0.5,0.75,0,2,284.1804266,0.036949416638164,0.218165292187639,0.432815211745778,0.298271450107045,395.737977322444,6.41979949874687,799.082706766917,2466607.65375854,549861.45785877
"10","ECO51","HUC4_17","WI","ws10643",6,0.666666666666667,0,0,0,0.166666666666667,0.166666666666667,0.5,0,1,0.166666666666667,2,185.2713039,0.045983376810116,0.489329971776524,0.297191739897113,0.158896709851985,413.251581889396,6.39111969111969,825.949806949807,2462842.43822076,514050.7907743
