Catchment_Area,HHC_NUM,HHC_freq,HHC_cum,CRC_NUM,CRC_freq,CRC_cum,CSR_NUM,CSR_freq,CSR_cum,CMS_NUM,CMS_freq,CMS_cum,SRD_NUM,SRD_freq,SRD_cum
100,751,0.441245593,0.441245593,2518,0.665257596,0.665257596,1029,0.571984436,0.571984436,1286,0.551221603,0.551221603,414,0.860706861,0.860706861
200,363,0.213278496,0.654524089,578,0.152708058,0.817965654,351,0.195108394,0.767092829,396,0.169738534,0.720960137,40,0.083160083,0.943866944
300,150,0.08813161,0.742655699,210,0.055482166,0.87344782,132,0.073374097,0.840466926,161,0.069009859,0.789969996,15,0.031185031,0.975051975
400,87,0.051116334,0.793772033,113,0.02985469,0.90330251,66,0.036687048,0.877153974,93,0.039862838,0.829832833,6,0.012474012,0.987525988
500,56,0.032902468,0.826674501,83,0.021928666,0.925231176,45,0.025013897,0.902167871,71,0.030432919,0.860265752,3,0.006237006,0.993762994
600,41,0.024089307,0.850763807,47,0.012417437,0.937648613,37,0.020566982,0.922734853,43,0.018431204,0.878696957,1,0.002079002,0.995841996
700,34,0.019976498,0.870740306,41,0.010832232,0.948480845,28,0.015564202,0.938299055,35,0.015002143,0.8936991,0,0,0.995841996
800,25,0.014688602,0.885428907,25,0.00660502,0.955085865,8,0.004446915,0.94274597,26,0.011144449,0.904843549,0,0,0.995841996
900,16,0.009400705,0.894829612,29,0.007661823,0.962747688,18,0.010005559,0.952751529,21,0.009001286,0.913844835,0,0,0.995841996
1000,14,0.008225617,0.903055229,16,0.004227213,0.966974901,7,0.003891051,0.956642579,14,0.006000857,0.919845692,0,0,0.995841996
