SiteID,StreamName,ProgID,Landmark,Type,Tags,SegID,ADBCode,ADBSegName,EcoRegionDesig,County,MajorBasin,DrainageArea,ThermalClass,HUC12,UTMNorth,UTMEast,LatDD,LonDD,IsRiffle,IsPublicLand,CurrentStatus
1,White Fox Creek,,Webster City,Wadeable,,1261,IA 04-UDM-0220_1,White Fox Creek,47b,Hamilton,Mississippi,75.546,Warm Water,huc071000050503,4709572,435296,42.53582,-93.78792,Yes,False,Reference Site
2,Little Beaver Creek,,Woodward,Wadeable,,1237,IA 04-UDM-0124_0,Little Beaver Creek,47b,Dallas,Mississippi,33.867,Warm Water,huc071000040908,4632091,419649,41.83663,-93.96773,Yes,False,Reference Site
3,Crane Creek,,Lourdes,Wadeable,,212,IA 01-TRK-0440_3,Crane Creek,47c,Howard,Mississippi,69.571,Warm Water,huc070600040102,4790037,555897,43.26106,-92.31129,No,False,Reference Site
4,Buck Creek,,Barnes City,Wadeable,Headwater Reference Study,873,IA 03-NSK-0042_0,Buck Creek,47f,Mahaska,Mississippi,37.176,Warm Water,huc070801060401,4593813,532838,41.49526,-92.60658,N/A,False,Reference Site
5,Old Mans Creek,,Williamstown,Wadeable,,686,IA 02-IOW-0150_2,Old Mans Creek,47f,Johnson,Mississippi,137.824,Warm Water,huc070802090205,4606634,607549,41.60417,-91.70935,N/A,False,Candidate Reference Site
6,West Nishnabotna River,,Shelby Co. Upper Nish Hab Area,Wadeable,,1446,IA 05-NSH-0090_3,West Nishnabotna River,47e,Shelby,Missouri,86.14,Warm Water,huc102400020203,4630098,318247,41.80192,-95.18778,N/A,False,Reference Site
7,Beaver Creek,,Beaver,Wadeable,,1235,IA 04-UDM-0120_0,Beaver Creek,47b,Boone,Mississippi,38.871,Warm Water,huc071000040905,4654571,405185,42.03746,-94.14552,Undetermined,False,Survey Site
8,North Branch North River,,Goeldner Woods,Wadeable,,1106,IA 04-LDM-0315_0,North Branch North River,47f,Madison,Mississippi,39.724,Warm Water,huc071000080202,4589665,410541,41.45358,-94.07107,N/A,False,Reference Site
9,West Nishnabotna River,,Kirkman,Wadeable,,1445,IA 05-NSH-0090_2,West Nishnabotna River,47e,Shelby,Missouri,141.228,Warm Water,huc102400020208,4625714,312359,41.76109,-95.25722,N/A,False,Survey Site
10,North Cedar Creek,,Public Access Area- Sny Magill,Wadeable,2011 Nutrient (CW),431,IA 01-YEL-0040_0,North Cedar Creek,52b,Clayton,Mississippi,5.06,Cold Water,huc070600030701,4758169,644416,42.96247,-91.2293,N/A,True,Reference Site
11,Wapsipinicon River,,Twin Ponds Park,Wadeable,,350,IA 01-WPS-0030_1,Wapsipinicon River,47c,Chickasaw,Mississippi,161.926,Warm Water,huc070801020204,4762387,549686,43.01253,-92.39029,No,True,Reference Site
12,Crane Creek,,Jerico,Wadeable,,211,IA 01-TRK-0440_2,Crane Creek,47c,Chickasaw,Mississippi,90.207,Warm Water,huc070600040102,4784727,558665,43.21304,-92.27775,Undetermined,True,Survey Site
13,Paint Creek,,Yellow River State Forest,Wadeable,,226,IA 01-UIA-0010_1,Paint Creek,52b,Allamakee,Mississippi,73.764,Warm Water,huc070600010802,4781475,644714,43.17218,-91.21958,N/A,True,Reference Site
14,North Bear Creek,,North Bear Creek Public Access,Wadeable,,255,IA 01-UIA-0190_0,North Bear Creek,52b,Winneshiek,Mississippi,31.743,Cold Water,huc070600020501,4811811,611653,43.45087,-91.62003,N/A,True,Rejected Reference Site
15,Jordan Creek,,Macedonia,Wadeable,,1459,IA 05-NSH-0133_0,Jordan Creek,47e,Pottawattamie,Missouri,31.335,Warm Water,huc102400020301,4562376,301077,41.18832,-95.37194,N/A,False,Reference Site
16,East Branch West Nishnabotna River,,Avoca,Wadeable,,1823,IA 05-NSH-0140_1,East Branch West Nishnabotna River,47e,Shelby,Missouri,199.262,Warm Water,huc102400020106,4599293,307724,41.5222,-95.30444,N/A,False,Reference Site
17,Howerdon Creek,,Winterset,Wadeable,,1110,IA 04-LDM-0318_0,Howerdon Creek,47f,Madison,Mississippi,14.007,Warm Water,huc071000080303,4579335,407161,41.36017,-94.10994,N/A,False,Reference Site
18,Coldwater Creek,,Coldwater Creek SWMA - Bluffton,Wadeable,2011 Nutrient (CW),280,IA 01-UIA-0390_0,Unnamed Creek (aka Cold Water Cr.),52b,Winneshiek,Mississippi,22.366,Cold Water,huc070600020204,4810210,584252,43.44005,-91.95888,N/A,True,Reference Site
19,Middle Bear Creek,,Highlandville,Wadeable,,256,IA 01-UIA-0200_0,Middle Bear Creek,52b,Winneshiek,Mississippi,4.59,Cold Water,huc070600020501,4814559,609590,43.47592,-91.64497,N/A,False,Rejected Reference Site
20,Maynes Creek,,Mallory Co. Park- Hampton,Wadeable,,808,IA 02-WFC-0040_0,Maynes Creek,47b,Franklin,Mississippi,35.041,Warm Water,huc070802040502,4723382,481090,42.66267,-93.23074,Yes,True,Reference Site
21,South Fork Iowa River,,Logsdon Co Park- Iowa Falls,Wadeable,,748,IA 02-IOW-0280_2,South Fork Iowa River,47b,Hardin,Mississippi,120.775,Warm Water,huc070802070603,4692585,478397,42.38525,-93.26243,Yes,True,Reference Site
