FishSampleID_IDNR,FishSpeciesCode_IDNR,TaxonSortID,Common_Name,CountOfIndividuals,GearRun_IDNR
1550,GZS,20,gizzard shad,33,1BE
1550,GZS,20,gizzard shad,2,1SH
1550,GZS,20,gizzard shad,5,2BE
1550,GOL,22,goldeye,1,1BE
1550,CAP,46,common carp,17,1BE
1550,CAP,46,common carp,11,2BE
1550,COS,54,central stoneroller,1,1SH
1550,SUM,56,suckermouth minnow,3,1SH
1550,SES,77,steelcolor shiner,1,1SH
1550,RES,79,red shiner,104,1SH
1550,FHM,81,fathead minnow,1,1SH
1550,BLS,82,bluntnose minnow,2,1SH
1550,SAS,95,sand shiner,20,1SH
1550,BGB,104,bigmouth buffalo,2,1BE
1550,BKB,106,black buffalo,1,1BE
1550,GOR,121,golden redhorse,1,2BE
1550,FRM,131,freckled madtom,2,1SH
1550,BLT,143,blackstripe topminnow,1,1BE
1550,MOF,145,mosquitofish,1,1SH
1550,LMB,166,largemouth bass,1,2BE
1550,GSF,170,green sunfish,5,1BE
1550,GSF,170,green sunfish,1,1SH
1550,GSF,170,green sunfish,2,2BE
1550,BLG,173,bluegill,10,1BE
1550,BLG,173,bluegill,1,1SH
1550,BLG,173,bluegill,1,2BE
1550,LOS,176,longear sunfish,3,1BE
1550,LOP,187,logperch,1,1BE
1550,LOP,187,logperch,8,1SH
1550,ORD,199,orangethroat darter,4,1SH
1550,SLD,205,slough darter,1,1SH
1550,FRD,207,freshwater drum,1,1BE
1552,GZS,20,gizzard shad,1,1ES
1552,CAP,46,common carp,3,1ES
1552,CRC,50,creek chub,3,1ES
1552,COS,54,central stoneroller,26,1ES
1552,SUM,56,suckermouth minnow,1,1ES
1552,RDS,72,redfin shiner,4,1ES
1552,RES,79,red shiner,55,1ES
1552,BLS,82,bluntnose minnow,23,1ES
1552,SAS,95,sand shiner,68,1ES
1552,WHS,111,white sucker,5,1ES
1552,GOR,121,golden redhorse,1,1ES
1552,CCF,123,channel catfish,1,1ES
1552,YEB,125,yellow bullhead,1,1ES
1552,FRM,131,freckled madtom,1,1ES
1552,BLT,143,blackstripe topminnow,3,1ES
1552,GSF,170,green sunfish,41,1ES
1552,BLG,173,bluegill,7,1ES
1552,LOS,176,longear sunfish,15,1ES
1552,LOP,187,logperch,4,1ES
1552,JOD,191,johnny darter,1,1ES
1552,MUD,198,mud darter,1,1ES
1552,ORD,199,orangethroat darter,13,1ES
1552,FRD,207,freshwater drum,3,1ES
1553,CRC,50,creek chub,53,1ES
