StationCode,StreamName,Location,Latitude_DDeg,Longitude_DDeg,TYPE
AD-04,CACHE RIVER-POST CREEK CUT OFF,2 MI S WEST VIENNA,37.39429,-88.97581,STREAM
AD-05,CACHE RIVER-POST CREEK CUT OFF,1 MI N MT PLEASANT,37.46662,-89.07682,STREAM
AD-06,CACHE RIVER-POST CREEK CUT OFF,0.8 MI SW SARATOGA,37.50426,-89.1709,STREAM
AD-08,CACHE RIVER-POST CREEK CUT OFF,HERON POND N FORMAN,37.35695,-88.91528,STREAM
AD-09,CACHE RIVER-POST CREEK CUT OFF,4 MI W HILLERMAN,37.24005,-88.95924,STREAM
AD-10,CACHE RIVER-POST CREEK CUT OFF,LIMEKILN RD 2.5 MI N ANNA,37.50111,-89.22778,STREAM
AD-11,CACHE RIVER-POST CREEK CUT OFF,LIMEKILN RD 0.2 MI E RT 51 N ANNA,37.48809,-89.23047,STREAM
AD-20,CACHE RIVER-POST CREEK CUT OFF,"NW FORMAN, 0.63 MI UPS DUTCHMAN CK",37.3608333,-88.9197222,STREAM
ADC-01,MAIN DITCH,RT 45 BR 3.5 MI NW MERMET,37.32056,-88.87604,STREAM
ADCD-01,NEW COLUMBIA DITCH,3 MI E MERMET,37.27278,-88.79333,STREAM
ADCDA-01,BEAR CREEK DITCH,STATON RIDGE RD (750E) BR 3 MI SE OF MERMET,37.26319,-88.79375,STREAM
ADD-01,DUTCHMAN CREEK,2 MI SSW VIENNA,37.38564,-88.90314,STREAM
ADD-04,DUTCHMAN CREEK,OLD RT 146 BR 1.2 MI E WEST VIENNA,37.4252778,-88.9458333,STREAM
ADD-05,DUTCHMAN CREEK,WAGONTOWN LANE 3.7 MI SE OF GOREVILLE,37.521,-88.94,STREAM
ADD-06,DUTCHMAN CREEK,BUNCOMBE ROAD 2.4 MI NW OF VIENNA,37.44878,-88.92514,STREAM
ADDA-01,CAVE CREEK,INDIAN POINT ROAD 4 MI SE OF VIENNA,37.36633,-88.86119,STREAM
ADDB-01,LITTLE CACHE CREEK,RT 146 BR VIENNA,37.41538,-88.89108,STREAM
ADDB-03,LITTLE CACHE CREEK,SHELBY ROAD 2.3 MI NE OF VIENNA,37.45444,-88.86581,STREAM
ADL-01,LICK CREEK,0.5 MI N ELVIRA,37.50095,-89.025,STREAM
ADLA-01,BUCK BRANCH,HAPPY HOLLOW ROAD 2.7 MI SW OF GOREVILLE,37.52192,-89.00706,STREAM
ADP-01,BRADSHAW CREEK,1.4 MI N MT PLEASANT,37.47258,-89.07987,STREAM
ADX-01,CACHE CREEK,1 MI SE COBDEN,37.51833,-89.23389,STREAM
ADY-01,OLD CACHE RIVER,1 MI NW KARNAK,37.30675,-88.98407,STREAM
AE-03,MASSAC CREEK,MASSAC CREEK RD 0.9 MI NE OF METROPOLIS,37.169,-88.715,STREAM
AEA-01,WEAVER CREEK,MASSAC CREEK RD 0.8 MI NE OF METROPOLIS,37.169,-88.718,STREAM
AF-02,SEVEN MILE CREEK,WALDO CHURCH RD 3.2 MI N OF BROOKPORT,37.175,-88.626,STREAM
AH-01,DOG CREEK,3 MI SE OF BAY CITY,37.2044444,-88.4916667,STREAM
AI-02,BARREN CREEK,2.6 MI SW BAY CITY FR1410,37.23111111,-88.53722222,STREAM
