FishIBIRegion,StationCode,CollectionDate,GearCombo,StreamWidth,PercentSlope,FishSampleID_IDNR,GearRun_IDNR,ShockTime,SeineHauls,IEPA_HabitatLength,IEPA_FishReachLength
10,II-03,8/6/1999,1BE--1SH--2BE,32,0.05057,1550,1BE,35,,,
10,II-03,8/6/1999,1BE--1SH--2BE,32,0.05057,1550,1SH,,6,,
10,II-03,8/6/1999,1BE--1SH--2BE,32,0.05057,1550,2BE,15,,,
10,IIC-39,8/5/1999,1ES,22,0.080679998,1552,1ES,40,,600,
10,IICA-01,8/5/1999,1ES,16,0.222729996,1553,1ES,25,,400,
9,O-47,8/24/1999,1BE--1SH--2BE,75,0.056249999,1560,1BE,30,,,
9,O-47,8/24/1999,1BE--1SH--2BE,75,0.056249999,1560,1SH,,4,,
9,O-47,8/24/1999,1BE--1SH--2BE,75,0.056249999,1560,2BE,30,,,
9,O-17,8/24/1999,1BE--1SH--2BE,45,0.01605,1561,1BE,30,,,
9,O-17,8/24/1999,1BE--1SH--2BE,45,0.01605,1561,1SH,,2.599999905,,
9,O-17,8/24/1999,1BE--1SH--2BE,45,0.01605,1561,2BE,10,,,
10,O-20,8/30/2001,1BE--2BE,90,,1565,1BE,30,,,
10,O-20,8/30/2001,1BE--2BE,90,,1565,2BE,12,,,
9,O-47,9/4/2001,1BE--1SH--2BE,73,0.056249999,1568,1BE,30,,,
9,O-47,9/4/2001,1BE--1SH--2BE,73,0.056249999,1568,1SH,,2.400000095,,
9,O-47,9/4/2001,1BE--1SH--2BE,73,0.056249999,1568,2BE,30,,,
8,DZA-02,8/6/2001,1ES,35,0.164770007,1617,1ES,52.75,,500,
8,DA-10,7/30/2001,1BE--1SH--2BE,72,0.015915001,1618,1BE,30,,,
8,DA-10,7/30/2001,1BE--1SH--2BE,72,0.015915001,1618,1SH,,2,,
8,DA-10,7/30/2001,1BE--1SH--2BE,72,0.015915001,1618,2BE,30,,,
8,DA-03,7/30/2001,1BE--1SH,27,0.070146002,1619,1BE,30,,,
8,DA-03,7/30/2001,1BE--1SH,27,0.070146002,1619,1SH,,3.5,,
8,DA-11,8/6/2001,1ES,35,0.015,1620,1ES,29.5,,300,
8,DAF-01,8/1/2001,1ES,18,0.188999996,1621,1ES,23,,520,
8,DB-03,8/2/2001,1ES,26,0.027055999,1623,1ES,39.5,,520,
8,DB-97,8/2/2001,1ES,15,0.047729999,1624,1ES,23.10000038,,420,
8,DC-05,7/27/2001,1ES,12,0.104160003,1626,1ES,22.5,,,
8,DD-04,7/26/2001,1BE--1SH--2BE,34,0.047350001,1627,1BE,30,,,
8,DD-04,7/26/2001,1BE--1SH--2BE,34,0.047350001,1627,1SH,,2,,
8,DD-04,7/26/2001,1BE--1SH--2BE,34,0.047350001,1627,2BE,30,,,
8,DE-05,7/24/2001,1ES,55,0.078919999,1630,1ES,43.33000183,,600,
8,DE-11,7/24/2001,1ES,28,0.059280001,1631,1ES,30.60000038,,460,
8,DEA-02,7/23/2001,1ES,25,0.111000001,1632,1ES,27,,350,
8,DEAA-01,7/23/2001,1ES,27,0.067610003,1633,1ES,25.25,,435,
8,DEM-01,7/27/2001,1ES,30,0.157820001,1634,1ES,53,,,
8,DF-05,7/25/2001,1ES,30,0.145640001,1635,1ES,23.45000076,,490,
10,O-20,8/28/2002,1BE--2BE,150,,1640,1BE,30,,,
10,O-20,8/28/2002,1BE--2BE,150,,1640,2BE,30,,,
10,O-25,8/29/2002,1BE--2BE,150,,1641,1BE,30,,,
10,O-25,8/29/2002,1BE--2BE,150,,1641,2BE,30,,,
10,O-07,8/29/2002,1BE--2BE,150,0.018568,1642,1BE,30,,,
10,O-07,8/29/2002,1BE--2BE,150,0.018568,1642,2BE,30,,,
10,OA-01,7/25/2002,1BE--1SH,18,0.180299997,1643,1BE,13,,,
10,OA-01,7/25/2002,1BE--1SH,18,0.180299997,1643,1SH,,2,,
10,OB-03,7/9/2002,1ES,16,0.063069999,1644,1ES,45.45000076,,450,
10,OC-04,7/10/2002,1ES,26,0.054170001,1646,1ES,36.40000153,,600,
10,OCB-97,7/9/2002,1ES,21,0.082390003,1647,1ES,27.67000008,,435,
10,OD-09,7/10/2002,1ES,26,0.032579999,1649,1ES,54,,640,
10,ODG-01,7/10/2002,1ES,18,0.045079999,1650,1ES,39.40000153,,450,
10,ODL-02,7/10/2002,1ES,19,0.045079999,1651,1ES,34.29999924,,450,
10,OE-05,7/8/2002,1ES,18,0.029549999,1652,1ES,32.20000076,,315,
10,OG-02,7/8/2002,1ES,27,0.034469999,1653,1ES,43.40000153,,590,
10,OH-01,7/24/2002,1BE--1SH,35,0.0339,1654,1BE,30,,,
10,OH-01,7/24/2002,1BE--1SH,35,0.0339,1654,1SH,,1,,
10,OH-05,7/25/2002,1ES,21,0.065339997,1655,1ES,27.79999924,,300,
10,OI-13,7/24/2002,1BE--1SH--2BE,58,0.028200001,1657,1BE,30,,,
10,OI-13,7/24/2002,1BE--1SH--2BE,58,0.028200001,1657,1SH,,2,,
10,OI-13,7/24/2002,1BE--1SH--2BE,58,0.028200001,1657,2BE,30,,,
