FieldNum,WBName,Location,LAT8xDD,LON8xDD,County,State,DrainSqMi,Gradient,HUC8,HUC8_name,HUC10,HUC11,HUC12,Group_ID,Group_name,Basin,Reference,EcoLevel3,EcoLevel3Name,EcoLevel4,Province,Section,Subsection,PhysioProv,PhysioSect,DNRFisheries_area,Comments,FishRegion,FishClass,FishClassName,InvertClass,InvertClassName,AgPercent,RangePercent,AgRangePercent,UrbanPercent,ForestPercent,WetlandPercent,WaterPercent,MiningPercent,DisturbedPercent,TotalPercent,LUSource,TotalScore_Combined
10LM016,"Whitewater River, South Fork","Downstream of St Charles Twp Rd 7, 5 mi. NE of St Charles",44.01186,-91.98247,Winona,MN,51.93336583,5.158899784,07040003,Mississippi River - Winona,0704000303,07040003140,070400030307,0704000303-02,South Fork Whitewater River,LM,FALSE,52,DA,52b,222,222L,222Lc,,,Lake City Area,proposed use class change (2012 assessment year) from warmwater to coldwater,South,10,Southern Coldwater,9,Southern Coldwater,57,24.5,81.5,11.7,6.6,0,0.1,0.1,93.3,100,nlcd2001,49.88709348
10MN118,County Ditch 36,"Upstream of 290th Ave, 4.5 mi. N of Hazel Run",44.81887,-95.69541,Yellow Medicine,MN,6.030375174,0.746200025,07020004,Minnesota River - Yellow Medicine River,0702000402,07020004370,070200040203,0702000402-02,Stony Run Creek,MN,FALSE,47,WCBP,47b,251,251B,251Ba,,,Spicer Area,,South,3,Southern Headwaters,7,Prairie Streams GP,94,0.1,94.1,4.5,0.4,0.8,0,0,98.6,99.8,nlcd2001,25.08923105
10EM102,Platte River,"Upstream of Hwy 25, 3. mi. SW of Harding",46.09096571,-94.10223534,Morrison,MN,96.77685354,0.631399989,07010201,Mississippi River - Sartell,0701020104,07010201600,070102010402,0701020104-02,Upper Platte River,UM,TRUE,50,NLF,50b,212,212K,212Kb,,,Little Falls Area,,North,5,Northern Streams,4,Northern Forest Streams GP,7.2,27.8,35,3,35.8,19.7,6.4,0,38,99.9,nlcd2001,67.80024039
10EM078,Jack Creek,"0.25 mi. upstream of Lais Ave, 4 mi. E of Wilmont",43.77263532,-95.74033769,Nobles,MN,19.1961499,1.049399972,07100001,Des Moines River - Headwaters,0710000106,07100001070,071000010603,0710000106-01,Jack Creek,DM,FALSE,47,WCBP,47b,251,251B,251Bb,,,Windom Area,,South,3,Southern Headwaters,7,Prairie Streams GP,89.6,2,91.6,5.6,0.5,2.2,0.1,0,97.2,100,nlcd2001,37.66308825
10MN011,Yellow Medicine River,"Upstream of CR 3, 3.5 mi. N of Minneota",44.62384,-95.99384,Lyon,MN,191.0263982,0.595200002,07020004,Minnesota River - Yellow Medicine River,0702000403,07020004500,070200040307,0702000403-01,Upper Yellow Medicine River,MN,FALSE,47,WCBP,47b,251,251B,251Ba,,,Spicer Area,,South,2,Southern Streams,7,Prairie Streams GP,66,22.5,88.5,5,0.9,3.5,2,0.1,93.6,100,nlcd2001,48.11562027
10MN103,Judicial Ditch 2,"Upstream of 140th Ave, N of 40th St, 2 mi. E of Clara City",44.9461,-95.30887,Chippewa,MN,11.54576729,0.506699979,07020004,Minnesota River - Yellow Medicine River,0702000409,07020004540,070200040901,0702000409-01,Lower Hawk Creek,MN,FALSE,47,WCBP,47b,251,251B,251Ba,,,Spicer Area,,South,3,Southern Headwaters,7,Prairie Streams GP,92.9,0,92.9,5.6,0.6,0.7,0,0,98.5,99.8,nlcd2001,25.307865
10MN101,Judicail Ditch 16,"Upstream of Kandi-Renville Line Rd SW, 3 mi. S of Prinsburg",44.89197,-95.18257,Kandiyohi,MN,9.874331045,0.36559999,07020004,Minnesota River - Yellow Medicine River,0702000408,07020004550,070200040803,0702000408-01,Chetomba Creek,MN,FALSE,47,WCBP,47b,251,251B,251Ba,,,Spicer Area,,South,7,Low Gradient,7,Prairie Streams GP,89,0.8,89.8,4.9,0.8,4.4,0.1,0,94.7,100,nlcd2001,29.89206607
10EM127,Hay Creek,"Downstream of Rocky Blvd, 0.5 mi. N of Kingsdale",46.24202843,-92.31064854,Pine,MN,18.37050904,1.365399957,07030001,Upper St. Croix River,0703000106,07030001065,070300010604,0703000106-02,Hay Creek,SC,TRUE,50,NLF,50b,212,212K,212Kb,,,Hinckley Area,,North,6,Northern Headwaters,3,Northern Forest Streams RR,0,4.6,4.6,1.3,62.4,31.6,0.1,0,5.9,100,nlcd2001,78.56731032
10LM034,Dry Creek,"Downstream of CSAH 2 (4th Ave NW), 0.5 mi. N fo Elgin",44.13598,-92.25822,Wabasha,MN,22.95531774,1.251399994,07040003,Mississippi River - Winona,0704000303,07040003110,070400030302,0704000303-03,North Fork Whitewater River,LM,FALSE,52,DA,52c,222,222L,222Lf,,,Lake City Area,,South,3,Southern Headwaters,6,Southern Forest Streams GP,73.5,19.9,93.4,4.4,2,0.1,0,0,97.8,99.9,nlcd2001,39.21392385
10EM116,Unnamed ditch,"Upstream of CR 149, 4 mi. NW of Princeton",45.62904096,-93.64094326,Mille Lacs,MN,1.847267168,1.229095459,07010207,Rum River,0701020703,07010207080,070102070305,0701020703-01,West Branch Rum River,UM,FALSE,51,NCHF,51k,212,212K,212Kb,,,Little Falls Area,,North,6,Northern Headwaters,4,Northern Forest Streams GP,58.5,15.5,74,4,18.1,4,0,0,78,100.1,nlcd2001,39.22649043
10EM035,Judicial Ditch 8,"Downstream of 90th St., 2 mi. SE of Glencoe",44.75001692,-94.10369466,McLeod,MN,9.017415914,0.493103027,07010205,South Fork Crow River,0701020506,07010205080,070102050605,0701020506-01,Buffalo Creek,UM,FALSE,47,WCBP,47b,222,222M,222Mb,,,Hutchinson Area,,North,7,Low Gradient,6,Southern Forest Streams GP,81.6,10.3,91.9,3.7,3.5,0.9,0,0,95.6,100,nlcd2001,27.6280943
