VisitNum,FieldNum,StationNum,VisitType,VisitDate,VisitYear,StationLength,DataSource,Project,SampleType,GPSFileName,LatLongNum,CollDate,CollTime,CollTimeDup,Spacing,ChanCon,SampleID,Comments,VisitResult,VisitResultReason,AssessmentStatus,AssessmentStatusReason,Flow,QHEI,FHR,MSHA,FishSampleCrew,HabitatCrew,DateEntered,VisitNumOld,Source,TapeDown
19960009,96SC002,1583,fish,7/24/1996,1996,530,MPCA,EMAP,,,82,7/10/1996,1/0/1900,,40,NA,9620006,Fish and habitat done on different dates.  Sites 96SC002 and 96SC003 overlap.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,7,,,,,1,,
19960010,96SC003,1584,fish,7/24/1996,1996,520,MPCA,EMAP,,,83,7/10/1996,1/0/1900,,40,NA,9620006,Fish and habitat done on different dates.  Sites 96SC002 and 96SC003 overlap.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,8,,,,,2,,
19960011,96SC004,1585,fish,7/3/1996,1996,213,MPCA,EMAP,,,80,7/3/1996,1/0/1900,,16,NA,9618784,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,12,,,,,3,,
19960013,96SC006,1587,fish,6/25/1996,1996,457,MPCA,EMAP,,,5,6/25/1996,1/0/1900,,38,NA,9617681,watershed rotenoned in 1989,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,10,,,,,5,,
19960014,96SC007,1588,fish,9/25/1996,1996,500,MPCA,EMAP,,,53,9/25/1996,1/0/1900,,,NA,9630732,Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,63,,,,,,6,,
19960016,96SC010,1591,fish,7/17/1996,1996,500,MPCA,EMAP,,,85,7/17/1996,1/0/1900,,,NA,9621430,Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,62,,,,,,8,,
19960017,96SC011,1592,fish,7/19/1996,1996,472,MPCA,EMAP,,,86,7/19/1996,1/0/1900,,38,NA,9621712,"land use not recorded on Transect 01, in exclusion table.",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,9,,,,,9,,
19960018,96SC012,1593,fish,8/1/1996,1996,448,MPCA,EMAP,,,58,7/31/1996,1/0/1900,,38,NA,9624090,"fish and habitat done 8-1-96, water chemistry and flow done 7-31-96",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,10,,
19960019,96SC013,1594,fish,8/6/1996,1996,205,MPCA,EMAP,,,61,8/6/1996,1/0/1900,,15.5,NA,9625286,Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,11,,,,,11,,
19960020,96SC013,1594,fish,8/26/1996,1996,203,MPCA,EMAP,,,61,8/26/1996,1/0/1900,,15.30000019,NA,9627959,,Replicate,Replicate: Sufficient and representative sample collected,Assessable,,,,,,,,,12,,
19960021,96SC015,1597,fish,6/28/1996,1996,300,MPCA,EMAP,,,36,6/28/1996,1/0/1900,,23,NA,9618340,Turbidity was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,10,,,,,13,,
19960023,96SC017,1599,fish,6/27/1996,1996,225,MPCA,EMAP,,,35,6/27/1996,1/0/1900,,17,NA,9617920,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,10,,,,,15,,
19960024,96SC018,1600,fish,6/26/1996,1996,500,MPCA,EMAP,,,34,6/26/1996,1/0/1900,,,NA,9617682,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,51.5,,,,,,16,,
19960025,96SC019,1601,fish,7/9/1996,1996,500,MPCA,EMAP,,,81,7/9/1996,1/0/1900,,,NA,9620004,,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,60,,,,,,17,,
19960026,96SC021,1603,fish,9/3/1996,1996,441,MPCA,EMAP,,,31,9/3/1996,1/0/1900,,32,NA,9628521,Air temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,10,,,,,18,,
19960027,96SC022,1604,fish,7/31/1996,1996,501,MPCA,EMAP,,,87,7/30/1996,1/0/1900,,38,NA,9623500,time fished is an estimate,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,11,,,,,19,,
19960028,96SC023,1605,fish,7/30/1996,1996,289,MPCA,EMAP,,,56,7/30/1996,1/0/1900,,22,NA,9623501,Water temperature was not measured.,Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,9,,,,,20,,
19960029,96SC024,1606,fish,7/29/1996,1996,315,MPCA,EMAP,,,55,7/29/1996,1/0/1900,,22,NA,9623385,"wetland habitat, naturally low D.O. and depauperate fish community.  Air temperature was not measured.",Reportable,Reportable: Sufficient and representative sample collected,Assessable,,,,,,,,,21,,
