MONIT_STATION_SEQ_NO,DTRSQQ_CODE,COUNTY_CODE,COUNTY_NAME,WBIC,OFFICIAL_WATERBODY_NAME,REGION_CODE,WSHED_CODE,GMU_CODE,WMU_CODE,HUC_CODE,ECO_REGION_CODE,STREAM_ORDER_NO,NATURAL_COMMUNITY,TEMPERATURE_CLASS,HYDRO_ID,CALC_LL_LAT_DD_AMT,CALC_LL_LONG_DD_AMT
62231036,421190342,5,Brown,117900,Fox River,NE,LF02,LF,LF,04030204,53,NA,NA,NA,600085972,44.32007,-88.17973
62230680,402123521,54,Rock,788800,Rock River,SC,LR03,LR,LR,07090002,53,NA,NA,NA,600089753,42.59753,-89.0431
27293326,NA,22,Grant,1179900,Wisconsin River,SC,LW09,LW,LW,07070005,52,NA,NA,NA,600091268,43.1976,-90.4354
27293296,NA,29,Juneau,1301700,Lemonweir River,WC,LW29,CW,LW,07070003,51,NA,LARGE RIVER,Warm,600091256,43.9298,-90.1779
27293004,NA,49,Polk,2601400,Saint Croix River,NO,SC08,SC,SC,07030005,NA,NA,NA,NA,600090392,45.39024,-92.6665
27292949,NA,35,Lincoln,1179900,Wisconsin River,NO,UW30,HW,UW,07070002,50,NA,NA,NA,600089705,45.28828,-89.7937
10560,239031413,58,Sawyer,2225000,Flambeau River,NO,UC11,UC,UC,07050002,50,NA,NA,NA,600090338,45.8626355,-90.7047414
151567,412011724,53,Richland,1233000,Unnamed,SC,LW13,LW,LW,07070005,52,"2, 2",COOL-COLD HEADWATER,Cool-Cold,200045007,43.51926,-90.4021
27104879,NA,28,Jefferson,5037670,Unnamed,SC,LR15,LR,LR,07090002,53,1,MACROINVERTEBRATE,Cool-Warm,200018140,42.900368,-88.57128
5382,401051543,33,Lafayette,915700,Unnamed,SC,SP07,GP,SP,07090003,52,2,COOL-COLD HEADWATER,Cool-Cold,200002293,42.553379,-89.8826152
